directory,directory_type,county,state,municipality,municipality_type,query_keyword,candidate_query_url,sweep_priority,current_status,extracted_rows_currently_available,known_total_if_available,use_case,publication_rule,notes
Manta,large commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.manta.com/search?search=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.merchantcircle.com/search?q=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.cylex.us.com/search/?q=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.chamberofcommerce.com/search?what=&where=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.yellowpages.com/branson-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.yellowpagesdirectory.com/search?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.manta.com/search?search=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.merchantcircle.com/search?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.cylex.us.com/search/?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.chamberofcommerce.com/search?what=&where=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.yellowpages.com/cokedale-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.yellowpagesdirectory.com/search?q=Cokedale+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.manta.com/search?search=Cokedale+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.merchantcircle.com/search?q=Cokedale+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.cylex.us.com/search/?q=Cokedale+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.chamberofcommerce.com/search?what=&where=Cokedale+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.yellowpages.com/kim-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.yellowpagesdirectory.com/search?q=Kim+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.manta.com/search?search=Kim+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.merchantcircle.com/search?q=Kim+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.cylex.us.com/search/?q=Kim+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Kim,incorporated town,Kim CO,https://www.chamberofcommerce.com/search?what=&where=Kim+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.yellowpages.com/starkville-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.yellowpagesdirectory.com/search?q=Starkville+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.manta.com/search?search=Starkville+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.merchantcircle.com/search?q=Starkville+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.cylex.us.com/search/?q=Starkville+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Starkville,incorporated town,Starkville CO,https://www.chamberofcommerce.com/search?what=&where=Starkville+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Las Animas,CO,Hoehne,unincorporated community,Hoehne CO,https://www.yellowpages.com/hoehne-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Jansen,unincorporated community,Jansen CO,https://www.yellowpages.com/jansen-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Segundo,unincorporated community,Segundo CO,https://www.yellowpages.com/segundo-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Valdez,unincorporated community,Valdez CO,https://www.yellowpages.com/valdez-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Weston,unincorporated community,Weston CO,https://www.yellowpages.com/weston-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Stonewall,unincorporated community,Stonewall CO,https://www.yellowpages.com/stonewall-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Las Animas,CO,Bon Carbo,unincorporated community,Bon Carbo CO,https://www.yellowpages.com/bon-carbo-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.yellowpages.com/walsenburg-co/business-listings/1,1,yp_bulk_page_extracted_complete_from_accessible_page,137,141,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.yellowpagesdirectory.com/search?q=Walsenburg+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.manta.com/search?search=Walsenburg+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.merchantcircle.com/search?q=Walsenburg+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.cylex.us.com/search/?q=Walsenburg+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Huerfano,CO,Walsenburg,incorporated city,Walsenburg CO,https://www.chamberofcommerce.com/search?what=&where=Walsenburg+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.yellowpages.com/la-veta-co,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,16,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.yellowpagesdirectory.com/search?q=La+Veta+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.manta.com/search?search=La+Veta+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.merchantcircle.com/search?q=La+Veta+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.cylex.us.com/search/?q=La+Veta+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
ChamberofCommerce.com,commercial chamber-style directory,Huerfano,CO,La Veta,incorporated town,La Veta CO,https://www.chamberofcommerce.com/search?what=&where=La+Veta+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
YellowPages.com,large commercial directory,Huerfano,CO,Gardner,unincorporated community,Gardner CO,https://www.yellowpages.com/gardner-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPages.com,large commercial directory,Huerfano,CO,Cuchara,unincorporated community / resort area,Cuchara CO,https://www.yellowpages.com/cuchara-co/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
